instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,waktu
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,sore
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,malam
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,malam
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,malam
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,malam
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,malam
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,malam
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,malam
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,malam
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,malam
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,pagi
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,pagi
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,pagi
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,pagi
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,pagi
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,siang
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,siang
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,siang
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,siang
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,siang
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,sore
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,sore
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,sore
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,sore
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,malam
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,malam
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,malam
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,malam
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,malam
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,malam
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,malam
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,malam
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,pagi
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,pagi
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,pagi
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,pagi
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,pagi
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,siang
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,siang
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,siang
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,siang
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,siang
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,sore
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,sore
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,sore
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,sore
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,malam
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,malam
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,malam
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,malam
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,malam
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,malam
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,malam
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,malam
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,malam
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,pagi
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,pagi
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,pagi
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,pagi
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,pagi
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,siang
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,siang
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,siang
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,siang
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,siang
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,sore
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,sore
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,sore
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,sore
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,malam
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,malam
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,malam
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,malam
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,malam
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,malam
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,malam
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,malam
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,malam
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,pagi
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,pagi
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,pagi
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,pagi
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,pagi
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,siang
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,siang
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,siang
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,siang
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,siang
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,sore
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,sore
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,sore
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,sore
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,malam
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,malam
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,malam
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,malam
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,malam
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,malam
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,malam
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,malam
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,malam
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,pagi
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,pagi
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,pagi
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,pagi
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,pagi
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,siang
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,siang
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,siang
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,siang
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,siang
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,sore
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,sore
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,sore
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,sore
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,malam
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,malam
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,malam
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,malam
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,malam
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,malam
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,malam
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,malam
143,2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,malam
144,2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,pagi
145,2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,pagi
146,2011-01-07,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,pagi
147,2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,pagi
148,2011-01-07,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,pagi
149,2011-01-07,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,siang
150,2011-01-07,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,siang
151,2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,siang
152,2011-01-07,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,siang
153,2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,siang
154,2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,sore
155,2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,sore
156,2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,sore
157,2011-01-07,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,sore
158,2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,malam
159,2011-01-07,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,malam
160,2011-01-07,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,malam
161,2011-01-07,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,malam
162,2011-01-08,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,malam
163,2011-01-08,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,malam
164,2011-01-08,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,malam
165,2011-01-08,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,malam
166,2011-01-08,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,malam
167,2011-01-08,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,malam
168,2011-01-08,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,pagi
169,2011-01-08,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,pagi
170,2011-01-08,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,pagi
171,2011-01-08,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,pagi
172,2011-01-08,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,pagi
173,2011-01-08,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,siang
174,2011-01-08,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,siang
175,2011-01-08,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,siang
176,2011-01-08,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,siang
177,2011-01-08,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,siang
178,2011-01-08,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,sore
179,2011-01-08,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,sore
180,2011-01-08,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,sore
181,2011-01-08,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,sore
182,2011-01-08,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,malam
183,2011-01-08,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,malam
184,2011-01-08,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,malam
185,2011-01-08,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,malam
186,2011-01-09,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,malam
187,2011-01-09,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,malam
188,2011-01-09,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,malam
189,2011-01-09,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,malam
190,2011-01-09,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,malam
191,2011-01-09,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,malam
192,2011-01-09,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,pagi
193,2011-01-09,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,pagi
194,2011-01-09,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,pagi
195,2011-01-09,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,pagi
196,2011-01-09,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,pagi
197,2011-01-09,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,siang
198,2011-01-09,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,siang
199,2011-01-09,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,siang
200,2011-01-09,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,siang
201,2011-01-09,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,siang
202,2011-01-09,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,sore
203,2011-01-09,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,sore
204,2011-01-09,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,sore
205,2011-01-09,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,sore
206,2011-01-09,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,malam
207,2011-01-09,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,malam
208,2011-01-09,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,malam
209,2011-01-09,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6,malam
210,2011-01-10,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5,malam
211,2011-01-10,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1,malam
212,2011-01-10,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3,malam
213,2011-01-10,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1,malam
214,2011-01-10,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3,malam
215,2011-01-10,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3,malam
216,2011-01-10,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31,pagi
217,2011-01-10,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77,pagi
218,2011-01-10,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188,pagi
219,2011-01-10,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94,pagi
220,2011-01-10,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31,pagi
221,2011-01-10,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30,siang
222,2011-01-10,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52,siang
223,2011-01-10,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54,siang
224,2011-01-10,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47,siang
225,2011-01-10,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45,siang
226,2011-01-10,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74,sore
227,2011-01-10,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,sore
228,2011-01-10,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155,sore
229,2011-01-10,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95,sore
230,2011-01-10,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74,malam
231,2011-01-10,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38,malam
232,2011-01-10,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24,malam
233,2011-01-10,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18,malam
234,2011-01-11,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12,malam
235,2011-01-11,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3,malam
236,2011-01-11,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3,malam
237,2011-01-11,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6,malam
238,2011-01-11,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27,pagi
239,2011-01-11,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,2,97,99,pagi
240,2011-01-11,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217,pagi
241,2011-01-11,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130,pagi
242,2011-01-11,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54,pagi
243,2011-01-11,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35,siang
244,2011-01-11,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57,siang
245,2011-01-11,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52,siang
246,2011-01-11,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63,siang
247,2011-01-11,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45,47,siang
248,2011-01-11,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76,sore
249,2011-01-11,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136,sore
250,2011-01-11,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95,sore
251,2011-01-11,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,0,51,51,sore
252,2011-01-11,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32,32,malam
253,2011-01-11,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20,20,malam
254,2011-01-11,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28,29,malam
255,2011-01-11,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,1,18,19,malam
256,2011-01-12,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,0,7,7,malam
257,2011-01-12,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6,6,malam
258,2011-01-12,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1,1,malam
259,2011-01-12,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5,5,malam
260,2011-01-12,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0,16,16,pagi
261,2011-01-12,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0,54,54,pagi
262,2011-01-12,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125,128,pagi
263,2011-01-12,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,78,81,pagi
264,2011-01-12,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0,39,39,pagi
265,2011-01-12,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,3,32,35,siang
266,2011-01-12,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,3,52,55,siang
267,2011-01-12,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,0,49,49,siang
